timestamp,symbol,quantity,order_type,price,status
2025-04-05 12:05:14.919547,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:15.148457,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:15.370581,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:15.847755,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:16.329916,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:16.708435,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:17.119795,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:17.496566,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:17.881093,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:18.370006,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:18.493313,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:18.668000,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:18.864825,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:19.051099,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:19.459715,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:19.694064,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:19.962493,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:20.430207,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:20.757503,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:21.243017,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:21.427562,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:21.842374,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:22.239503,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:22.544364,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:22.803509,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:22.930993,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:23.146791,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:23.397270,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:23.508898,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:23.614540,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:23.930248,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:24.394273,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:24.500661,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:24.653678,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:24.956182,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:25.308923,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:25.583279,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:25.991317,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:26.164236,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:26.648179,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:26.812463,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:27.038990,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:27.398480,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:27.797584,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:28.162398,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:28.363364,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:28.484137,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:28.919103,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:29.068247,BTC-USD,5,market,Market Price,executed
2025-04-05 12:05:29.560931,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:30.057594,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:30.335412,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:30.698061,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:31.105512,BTC-USD,1,market,Market Price,executed
2025-04-05 12:05:31.266167,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:31.593060,BTC-USD,3,market,Market Price,executed
2025-04-05 12:05:31.854010,BTC-USD,4,market,Market Price,executed
2025-04-05 12:05:32.308072,BTC-USD,2,market,Market Price,executed
2025-04-05 12:05:32.654864,BTC-USD,5,market,Market Price,executed
